Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:00834006


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
834006;1;01/12/1985;1;11,5;53,1;11;16;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,4;0,0;2,9;11,5;0,0;1,8;3,5;1,8;0,0;5,9;0,0;0,4;5,2;0,2;5,3;1,0;2,6;0,0;0,0;0,0;2,8;0,8;0,0;7,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
834006;1;01/11/1985;1;10,8;31,3;14;13;1;1;1;;0;4,2;0,0;1,4;0,0;0,0;0,0;0,4;0,0;0,0;0,0;0,0;3,8;3,6;10,8;2,5;0,1;0,0;0,0;0,0;0,8;1,6;0,7;0,0;0,0;0,4;0,0;0,0;1,0;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
834006;1;01/10/1985;1;7,8;17,4;21;9;1;1;1;;0;0,0;0,0;1,7;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,7;3,6;7,8;0,0;0,0;0,0;0,0;0,0;0,4;0,8;0,0;0,0;1,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
834006;1;01/09/1985;1;12,1;89,0;11;21;1;1;1;;0;0,0;3,8;6,3;0,8;3,5;3,4;0,5;3,2;3,6;6,6;12,1;9,3;3,5;4,8;0,4;0,8;0,0;5,6;11,6;8,2;0,4;0,0;0,0;0,3;0,0;0,3;0,0;0,0;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
834006;1;01/08/1985;1;19,8;136,4;7;23;1;1;1;;0;2,6;1,8;4,8;0,5;7,9;4,6;19,8;19,1;12,8;2,3;0,2;0,0;1,8;0,0;0,6;9,4;0,0;9,0;1,7;10,8;0,0;10,0;0,2;0,0;0,0;4,2;0,0;2,3;2,4;7,6;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
834006;1;01/07/1985;1;70,2;572,8;23;28;1;1;1;;0;5,1;17,3;2,0;34,1;0,0;45,3;23,1;22,2;1,3;11,6;64,0;48,5;39,7;27,9;20,2;9,0;0,0;9,0;9,6;1,6;5,1;12,6;70,2;2,5;0,5;3,9;1,2;3,3;21,6;0,0;60,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
834006;1;01/06/1985;1;89,4;344,7;22;21;1;1;1;;0;3,5;5,2;74,1;30,1;0,0;0,0;0,5;0,0;0,0;0,0;0,6;0,8;4,0;0,0;0,0;40,1;55,1;4,4;2,8;0,7;1,3;89,4;0,0;3,4;0,0;4,0;8,8;5,3;2,2;8,4;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
834006;1;01/05/1985;1;86,8;433,3;23;28;1;1;1;;0;8,2;8,0;2,3;0,0;13,7;0,2;14,7;73,4;20,7;0,2;7,5;0,3;3,4;41,0;0,8;7,7;3,0;36,7;1,5;12,5;0,4;68,7;86,8;0,2;0,8;0,0;0,8;0,5;0,0;17,5;1,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
834006;1;01/04/1985;1;86,5;348,4;26;24;1;1;1;;0;8,6;26,0;8,9;0,4;1,1;8,2;0,0;35,2;12,4;4,8;2,9;4,4;4,6;49,6;7,8;14,3;6,0;0,6;0,0;0,0;0,0;0,0;0,0;19,8;17,6;86,5;22,4;2,6;1,1;2,6;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
834006;1;01/03/1985;1;78,2;266,4;24;25;1;1;1;;0;2,9;1,4;19,0;10,6;11,6;31,6;6,5;0,1;1,4;0,0;0,0;0,0;1,7;7,2;1,8;9,6;0,8;1,0;0,1;0,2;0,0;1,3;72,4;78,2;1,6;1,8;0,0;0,0;0,8;1,6;1,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
834006;1;01/02/1985;1;30,0;102,5;18;17;1;1;1;;0;0,0;0,0;0,0;0,0;1,8;0,0;0,0;0,0;0,0;5,9;3,2;2,7;9,8;0,2;5,3;8,5;11,7;30,0;0,0;2,2;6,9;7,3;0,0;0,3;0,0;0,3;6,0;0,4;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
834006;1;01/01/1985;1;16,0;67,1;26;11;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;6,8;5,0;4,8;0,2;5,9;8,5;5,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13,0;0,0;1,5;0,0;0,0;16,0;0,0;0,0;0,2;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
834006;1;01/11/1984;1;6,6;27,8;1;14;1;1;1;;0;6,6;4,1;0,8;0,5;0,0;4,0;0,0;0,3;0,0;0,4;0,0;0,6;0,0;0,0;5,2;0,5;2,6;0,0;0,0;0,0;0,0;0,0;0,0;0,2;1,4;0,6;0,0;0,0;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
834006;1;01/09/1984;1;16,5;79,3;2;13;1;1;1;;0;13,2;16,5;12,0;5,9;1,6;2,0;9,3;0,0;0,3;8,9;0,0;0,0;1,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,4;6,4;0,0;0,7;0,0;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
834006;1;01/06/1984;1;45,4;265,4;29;25;1;1;1;;0;7,1;5,8;10,8;2,4;7,6;1,8;0,8;6,1;0,0;0,0;18,2;12,4;0,0;3,9;16,2;39,8;0,0;24,4;2,8;0,2;0,2;11,5;1,0;0,7;15,0;13,5;1,8;16,0;45,4;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
834006;1;01/05/1984;1;73,8;539,5;22;25;1;1;1;;0;11,1;3,1;8,6;16,8;15,8;3,2;0,0;16,7;6,5;0,0;0,0;0,0;70,3;21,2;4,4;0,7;61,6;0,2;26,3;66,9;11,4;73,8;35,0;49,9;8,3;16,6;0,2;0,0;0,0;5,3;5,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
834006;1;01/04/1984;1;97,6;611,9;17;25;1;1;1;;0;0,0;0,0;0,0;0,2;4,7;0,0;3,1;66,7;8,8;24,4;0,5;2,3;30,3;82,2;63,0;66,6;97,6;25,8;0,0;7,0;3,0;1,2;4,4;39,1;24,0;32,0;2,7;4,3;12,4;5,6;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
834006;1;01/12/1983;1;9,2;24,5;18;8;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,0;0,7;0,0;0,0;0,4;1,5;0,0;0,0;0,0;0,0;9,2;1,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,2;1,3;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
834006;1;01/11/1983;1;9,9;13,1;3;7;1;1;1;;0;0,4;0,2;9,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,5;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,8;0,0;0,0;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
834006;1;01/10/1983;1;25,6;112,5;28;17;1;1;1;;0;5,8;5,1;1,2;0,2;0,0;0,9;1,5;4,5;0,0;0,6;0,0;0,0;0,0;0,0;9,7;0,0;0,0;0,0;0,0;0,0;0,0;0,1;5,2;0,0;0,0;1,6;22,9;25,6;17,4;8,6;1,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
834006;1;01/09/1983;1;10,0;42,7;28;14;1;1;1;;0;0,7;0,0;0,0;0,0;0,0;1,2;0,8;0,0;0,0;0,0;0,5;0,5;1,5;0,0;1,3;9,7;0,0;0,0;2,4;0,0;0,5;0,0;0,0;0,2;0,0;0,0;0,0;10,0;3,7;9,7;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
834006;1;01/08/1983;1;29,5;160,9;1;23;1;1;1;;0;29,5;29,5;0,2;0,0;0,7;7,0;2,0;21,1;18,5;0,0;1,5;0,0;0,3;5,1;1,2;0,0;4,4;0,0;3,0;2,1;0,0;0,0;1,5;2,3;0,6;0,2;14,7;3,0;12,3;0,2;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
834006;1;01/07/1983;1;56,5;226,7;9;21;1;1;1;;0;0,0;0,0;0,0;0,0;8,0;12,6;2,8;1,0;56,5;7,2;2,4;31,6;7,6;21,7;12,0;2,8;0,0;0,0;3,6;5,0;0,0;0,6;6,4;0,0;2,1;0,0;0,0;1,6;0,7;6,1;34,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
834006;1;01/06/1983;1;22,4;141,3;13;21;1;1;1;;0;0,2;20,3;9,6;0,0;0,0;5,7;4,9;0,0;1,0;0,0;0,6;6,3;22,4;12,9;5,1;7,2;5,0;3,5;2,3;0,0;3,4;3,3;17,4;7,6;2,1;0,5;0,0;0,0;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
834006;1;01/05/1983;1;24,0;183,3;26;23;1;1;1;;0;5,6;5,2;0,0;0,0;0,0;15,1;0,8;0,0;2,8;21,8;3,7;1,4;2,8;3,7;9,5;2,8;0,0;0,0;1,6;0,0;0,6;0,0;8,3;6,5;6,6;24,0;20,1;0,4;17,0;12,8;10,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
